Название;Цена;Наличие
Название;Цена;Наличие
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 256GB SSD Intel UHD Graphics 600 HD серый;31630 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;73110 сом;На складе
Ноутбук Dell G5-5500 3DK9M Intel Core i5-10300H 8GB DDR4 256GB SSD NVIDIA GTX1650Ti FHD W10 Interstellar Dark;94790 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 512GB SSD Intel UHD Graphics 600 HD серый;33380 сом;На складе
Ноутбук Dell Inspiron 15 3583 Intel Pentium 5405U 4GB DDR4 128GB SSD W10 Black;39230 сом;На складе
Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 Silver;77880 сом;На складе
Ноутбук Acer Aspire A315-56-58QT Intel Core i5-1035G1 8GB DDR4 128GB SSD FHD DOS Black;51850 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 120GB SSD Intel HD Graphics 620 HD DOS Black;40180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 120GB SSD Intel HD Graphics 620 HD DOS Black;42180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 512GB SSD Intel HD Graphics 620 HD DOS Black;42790 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 500GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;42530 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 500GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;44710 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 120GB SSD Intel HD Graphics 620 HD серый;40610 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD DOS Black;43570 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD серый;41490 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;45140 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 480GB SSD Intel HD Graphics 620 HD серый;44180 сом;На складе
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i7-10610U 16GB DDR3 512GB SSD Intel UHD Graphics 620 WQHD серый;203450 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD DOS Black;44020 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD серый;40610 сом;На складе
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i5-10210U 8GB DDR3 256GB SSD Intel UHD Graphics 620 FHD серый;143640 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD DOS Black;45750 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;42700 сом;На складе
Ноутбук Acer TravelMate X3 Intel Core i5-8250U 8GB DDR4 256GB SSD Intel UHD Graphics 620 FHD серый;64440 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;44630 сом;На складе
Ноутбук Dell Vostro 14 3491-6258 Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA MX230 FHD DOS черный;71390 сом;На складе
Ноутбук HP ENVY x360 15-ee0047nr AMD Ryzen 5 4500U 16GB DDR4 512GB SSD AMD Radeon Vega 6 FHD черный;86980 сом;На складе
